unique_id,timestamp,tag,y_pred,target_date,runtime,model_version,model_note
b586c3a5-93ba-49bd-b8fb-ef88c4966609,1607061006.3496048,TOTAL,[251319.18350925],2019-09-29,000:00:01,0.1,supervised learing model for time-series
6847c05a-7881-4a05-91dc-6db7b2af73ba,1607061007.1840422,TOTAL,[215053.77603168],2019-09-14,000:00:00,0.1,supervised learing model for time-series
0b7eb6f5-73ab-4592-a960-d0e97595cb59,1607061008.152133,TOTAL,[281241.69350401],2019-10-11,000:00:00,0.1,supervised learing model for time-series
e46f596d-11d4-4127-ad9b-307f5fe4b9b5,1607061009.0952585,TOTAL,[281241.69350401],2019-10-11,000:00:00,0.1,supervised learing model for time-series
682d9f16-2079-4ebf-9721-b4681dded564,1607061010.5099382,TOTAL,[149286.16545369],2019-08-12,000:00:01,0.1,supervised learing model for time-series
ca3a35ca-7ce7-4a57-842f-dbc18c9b45f7,1607061011.3776417,TOTAL,[219851.34847332],2019-09-07,000:00:00,0.1,supervised learing model for time-series
be641d9f-bbce-441b-90db-92c8018dc803,1607061012.2347543,TOTAL,[219851.34847332],2019-09-07,000:00:00,0.1,supervised learing model for time-series
9741389d-2e75-4b14-ba93-edbf1e22e35b,1607061013.1095853,TOTAL,[145175.55489665],2019-08-11,000:00:00,0.1,supervised learing model for time-series
601014e9-e844-476d-abb0-7fb3788739c4,1607061014.0307648,TOTAL,[149286.16545369],2019-08-13,000:00:00,0.1,supervised learing model for time-series
9d04da7b-bd14-488b-904f-c8e20cb676f8,1607061014.9323509,TOTAL,[230191.55572148],2019-09-17,000:00:00,0.1,supervised learing model for time-series
3ed0cd87-fa34-4e39-af30-8def3f47405c,1607061015.771123,TOTAL,[229785.23802724],2019-09-18,000:00:00,0.1,supervised learing model for time-series
b865f4ef-4064-4f55-b1bf-018d315b9657,1607061016.7166698,TOTAL,[142011.9526001],2019-08-05,000:00:00,0.1,supervised learing model for time-series
924cd000-76c1-428b-a8ac-162d15c6d70c,1607061017.6592505,TOTAL,[221069.27076627],2019-09-08,000:00:00,0.1,supervised learing model for time-series
c98da750-56d4-4f28-8791-94a2afa885c3,1607061018.5136437,TOTAL,[178694.89046917],2019-08-18,000:00:00,0.1,supervised learing model for time-series
9ed5d827-0ce7-4957-b625-987045ccd085,1607061019.3737783,TOTAL,[259365.93997128],2019-10-01,000:00:00,0.1,supervised learing model for time-series
89ba945a-8a7b-4106-9170-3766ba143f44,1607061020.2523017,TOTAL,[218775.51471478],2019-09-15,000:00:00,0.1,supervised learing model for time-series
03903f1d-e5f5-4add-96c3-50105efb4368,1607061021.0891182,TOTAL,[198946.72901895],2019-08-28,000:00:00,0.1,supervised learing model for time-series
df6ae53a-e2e0-4d9f-84fa-c60363a4cbfd,1607061021.9995518,TOTAL,[216563.68576576],2019-09-04,000:00:00,0.1,supervised learing model for time-series
424469a6-23e7-4905-b258-dec4a65d3b93,1607061023.1823084,TOTAL,[367065.51130382],2019-11-06,000:00:01,0.1,supervised learing model for time-series
9cceec08-9a10-449c-bcdf-a7133091ca79,1607061024.032102,TOTAL,[189277.16086558],2019-08-23,000:00:00,0.1,supervised learing model for time-series
3fd9c407-bc8b-424f-ae00-0f4b414c6546,1607061024.8997092,TOTAL,[367065.51130382],2019-11-06,000:00:00,0.1,supervised learing model for time-series
78bbd452-7b91-475e-a7b9-aa32adb0e628,1607061025.6580663,TOTAL,[246195.31415004],2019-09-25,000:00:00,0.1,supervised learing model for time-series
e4de15e9-dafb-4706-9135-b0fae5987bf0,1607061026.6255407,TOTAL,[230191.55572148],2019-09-17,000:00:00,0.1,supervised learing model for time-series
19879afb-a111-4cd4-93a6-0320c34c595d,1607061027.57739,TOTAL,[195989.77480644],2019-08-31,000:00:00,0.1,supervised learing model for time-series
504a8f45-8011-4987-a0d8-ac7bcbb3cea6,1607061028.4399037,TOTAL,[255536.37304917],2019-10-04,000:00:00,0.1,supervised learing model for time-series
759e0972-342e-4a1a-aa50-6eaedcbd93bb,1607061029.2233589,TOTAL,[223464.20354089],2019-09-20,000:00:00,0.1,supervised learing model for time-series
31657f6f-9f9a-4a7d-8cb6-f9eafaf884d3,1607061030.0316522,TOTAL,[370969.72987817],2019-11-03,000:00:00,0.1,supervised learing model for time-series
c916dbf0-578d-40a8-89eb-3a9a3979d522,1607061030.8531916,TOTAL,[198407.58999588],2019-08-30,000:00:00,0.1,supervised learing model for time-series
5bb66f1e-d637-47ee-9198-23995467a9f6,1607061031.7629807,TOTAL,[260918.60880368],2019-09-30,000:00:00,0.1,supervised learing model for time-series
a3f27e8c-1c64-40ed-bbdd-d95a072cb45f,1607061033.0156653,TOTAL,[329901.15903176],2019-10-30,000:00:01,0.1,supervised learing model for time-series
2adc55fb-4810-430b-ac1a-6bc4f3b83a29,1607061033.96888,TOTAL,[329002.11820916],2019-10-29,000:00:00,0.1,supervised learing model for time-series
cbc6bbf7-a0cf-4525-8eac-848c8a4b5b9a,1607061034.8431163,TOTAL,[176060.45308493],2019-08-14,000:00:00,0.1,supervised learing model for time-series
e92ae97e-27de-4226-bc93-430521817a1d,1607061035.7614806,TOTAL,[132684.56287275],2019-08-02,000:00:00,0.1,supervised learing model for time-series
9a3d3533-4a99-4ba5-b38d-21b8d3924ac9,1607061036.5278792,TOTAL,[208014.2604061],2019-09-02,000:00:00,0.1,supervised learing model for time-series
51056d41-bc79-432e-a7d9-10e9c0a4a42c,1607061037.461191,TOTAL,[208014.2604061],2019-09-02,000:00:00,0.1,supervised learing model for time-series
78170fbd-6c46-4fc3-8b29-df3d48c6853e,1607061038.2272575,TOTAL,[223566.88187528],2019-09-16,000:00:00,0.1,supervised learing model for time-series
4932f739-39bc-445e-b822-654cc0c79cb4,1607061039.0017989,TOTAL,[149286.16545369],2019-08-12,000:00:00,0.1,supervised learing model for time-series
4f1fe668-888a-4213-959a-e714a7ddfba8,1607061039.812073,TOTAL,[190640.63947455],2019-08-24,000:00:00,0.1,supervised learing model for time-series
f4f3d58d-e6c4-498d-a612-6e79745e0611,1607061040.605824,TOTAL,[281445.89324826],2019-10-09,000:00:00,0.1,supervised learing model for time-series
90db2b9b-a3c6-4d5d-ae8a-eeaf830700cf,1607061041.6196668,TOTAL,[142581.31805067],2019-08-07,000:00:01,0.1,supervised learing model for time-series
4be6dd5c-f3b1-45fc-9ab4-3c1a038d0d3c,1607061042.5304396,TOTAL,[132684.56287275],2019-08-02,000:00:00,0.1,supervised learing model for time-series
0f80de2d-97e4-48da-9d6c-892e93759412,1607061043.4191952,TOTAL,[223566.88187528],2019-09-16,000:00:00,0.1,supervised learing model for time-series
2060753d-c5f2-4b78-bc36-d81d4a06094b,1607061044.3447838,TOTAL,[258334.52361077],2019-10-03,000:00:00,0.1,supervised learing model for time-series
c8ea9774-b0f6-4195-a958-faa82cb66dd4,1607061045.2016363,TOTAL,[216563.68576576],2019-09-04,000:00:00,0.1,supervised learing model for time-series
f28091d8-dc9e-44dd-a49e-81e88c03b3cb,1607061046.0422516,TOTAL,[189277.16086558],2019-08-23,000:00:00,0.1,supervised learing model for time-series
6ed7c4cf-48e3-464e-beb3-c486191f1ee7,1607061046.8846967,TOTAL,[230113.7316293],2019-09-23,000:00:00,0.1,supervised learing model for time-series
0e99eca2-ae2b-4622-add6-27f6452234d2,1607061047.8512053,TOTAL,[220447.42781863],2019-09-05,000:00:00,0.1,supervised learing model for time-series
fef0cb62-f43e-4326-bc71-418ec1b997af,1607061048.658362,TOTAL,[142581.31805067],2019-08-07,000:00:00,0.1,supervised learing model for time-series
5a75a129-950f-4342-a8c2-e660c78e721f,1607061049.5120363,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
311b44dd-597b-4b7b-ad04-bcee25076ac8,1607061050.3204596,TOTAL,[140343.09808852],2019-08-10,000:00:00,0.1,supervised learing model for time-series
3dbd5ead-fcb8-4372-9336-96ad671917fa,1607061051.1709585,TOTAL,[317773.96198269],2019-10-21,000:00:00,0.1,supervised learing model for time-series
0552aa44-3153-4dea-8c75-11887bba4e90,1607061051.9725046,TOTAL,[142581.31805067],2019-08-07,000:00:00,0.1,supervised learing model for time-series
8de0a957-c382-44d6-9403-c09071e21cd0,1607061052.8406308,TOTAL,[198407.58999588],2019-08-30,000:00:00,0.1,supervised learing model for time-series
111c2eab-163d-4a0d-9b8e-bdadaf0c83cc,1607061053.6716485,TOTAL,[225950.68489945],2019-09-11,000:00:00,0.1,supervised learing model for time-series
d44da554-e5d0-4be7-b2fb-078be9de9415,1607061054.7709098,TOTAL,[140343.09808852],2019-08-10,000:00:01,0.1,supervised learing model for time-series
99fda047-c449-40cc-80c3-d0880120b361,1607061056.6109693,TOTAL,[258334.52361077],2019-10-03,000:00:01,0.1,supervised learing model for time-series
cadeedc5-9096-4218-8081-04a671d084a7,1607061058.2699294,TOTAL,[239070.0624],2019-09-27,000:00:01,0.1,supervised learing model for time-series
78469de2-af89-435b-ad0f-064e61bedc13,1607061059.3959925,TOTAL,[288539.00928709],2019-10-12,000:00:01,0.1,supervised learing model for time-series
23d6dc74-dff4-4eb1-be02-82f3bfb83a53,1607061060.975496,TOTAL,[218775.51471478],2019-09-15,000:00:01,0.1,supervised learing model for time-series
712c549c-d51e-4221-997b-9984c1f3826d,1607061062.2235723,TOTAL,[216214.8779828],2019-09-06,000:00:01,0.1,supervised learing model for time-series
a8c6d671-77ad-4952-8866-0ef1358f9f84,1607061063.0700128,TOTAL,[239070.0624],2019-09-27,000:00:00,0.1,supervised learing model for time-series
57aaa8c0-d6de-49f8-ba8c-b740e43cb49e,1607061063.9367037,TOTAL,[200255.93593566],2019-08-27,000:00:00,0.1,supervised learing model for time-series
14745fcb-da91-4a4a-9765-0de2b4680534,1607061065.759973,TOTAL,[174746.30278722],2019-08-15,000:00:01,0.1,supervised learing model for time-series
afa1732a-df40-45a7-b688-e3dd9ef77a76,1607061066.9529293,TOTAL,[239070.0624],2019-09-27,000:00:01,0.1,supervised learing model for time-series
15f2b9ab-c3de-4bd8-83e7-33eb56e4651d,1607061068.0668306,TOTAL,[233305.57213637],2019-09-24,000:00:01,0.1,supervised learing model for time-series
859257e5-6463-42e1-beac-643d4b94ca83,1607061069.0466785,TOTAL,[254943.73144231],2019-10-05,000:00:00,0.1,supervised learing model for time-series
48687679-2543-425b-8734-a766fb4cd39e,1607061069.9902585,TOTAL,[276475.28375852],2019-10-08,000:00:00,0.1,supervised learing model for time-series
8e42b655-7d70-4852-940f-5cb660a85b50,1607061070.9023826,TOTAL,[225950.68489945],2019-09-11,000:00:00,0.1,supervised learing model for time-series
7de9e541-6a05-4b2f-ac16-724cde8f1965,1607061071.9849458,TOTAL,[173845.00566627],2019-08-17,000:00:01,0.1,supervised learing model for time-series
f78a1bf5-b5c7-49bb-bc13-1ab61d073f18,1607061073.1771743,TOTAL,[140343.09808852],2019-08-10,000:00:01,0.1,supervised learing model for time-series
d6b7feba-2589-4833-800d-aef7d9e7e9dd,1607061074.173067,TOTAL,[339383.59463595],2019-10-28,000:00:00,0.1,supervised learing model for time-series
f11e4257-ae33-49cf-8d69-511c6e58ba7e,1607061075.05048,TOTAL,[141713.86228034],2019-08-06,000:00:00,0.1,supervised learing model for time-series
14577eaa-f5ec-421a-9285-5a401a32f214,1607061075.9946163,TOTAL,[299949.01233275],2019-10-14,000:00:00,0.1,supervised learing model for time-series
ef796302-ae2c-49a5-8b64-1f71f89eaace,1607061076.8881993,TOTAL,[210971.09264193],2019-09-03,000:00:00,0.1,supervised learing model for time-series
c619bb6c-017b-4e60-aa06-dd3231116a60,1607061077.7650955,TOTAL,[292163.62629879],2019-10-13,000:00:00,0.1,supervised learing model for time-series
1a2f42c2-7b87-411f-b149-6c97e0f38c21,1607061078.8891065,TOTAL,[329242.93869833],2019-10-27,000:00:01,0.1,supervised learing model for time-series
f925cfe9-033d-4b44-b494-6170758cb2d2,1607061079.8750837,TOTAL,[191224.28829437],2019-08-22,000:00:00,0.1,supervised learing model for time-series
55c7ae4a-ffaf-43ec-bb14-d601091bfba3,1607061080.7492537,TOTAL,[190640.63947455],2019-08-24,000:00:00,0.1,supervised learing model for time-series
fec4be0b-deaa-4f1c-8db5-5c2173b3db0a,1607061081.554268,TOTAL,[306224.23364774],2019-10-19,000:00:00,0.1,supervised learing model for time-series
093f7a2a-550a-420d-a9f6-008a3cf4f021,1607061082.4706824,TOTAL,[145175.55489665],2019-08-11,000:00:00,0.1,supervised learing model for time-series
b356c8ed-bdd2-453f-92f2-2997ad43a53d,1607061083.3209965,TOTAL,[229785.23802724],2019-09-18,000:00:00,0.1,supervised learing model for time-series
07143174-35b2-4eda-8baf-3b55d94914cc,1607061084.210733,TOTAL,[149286.16545369],2019-08-13,000:00:00,0.1,supervised learing model for time-series
00ac7236-cd86-4282-b112-b2696c25bcd2,1607061085.151186,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
6dc72f91-ce9e-42da-828d-7aed4c852e38,1607061086.0364687,TOTAL,[216563.68576576],2019-09-04,000:00:00,0.1,supervised learing model for time-series
269b1601-f531-452d-8855-e495148235fc,1607061086.9570796,TOTAL,[195989.77480644],2019-08-31,000:00:00,0.1,supervised learing model for time-series
21ee17bc-39be-4bce-9e84-2c86cc6418f9,1607061087.8197417,TOTAL,[281241.69350401],2019-10-11,000:00:00,0.1,supervised learing model for time-series
69503ad9-474d-4dfb-831b-d52547fe8f59,1607061088.6953676,TOTAL,[289149.24411761],2019-10-10,000:00:00,0.1,supervised learing model for time-series
7dc43c96-87f1-47c7-8e18-0eb48dcb2c61,1607061089.7492294,TOTAL,[142011.9526001],2019-08-01,000:00:01,0.1,supervised learing model for time-series
be7dae02-dbe8-43c3-8558-4085778e7ab3,1607061090.8065996,TOTAL,[193227.88259792],2019-08-20,000:00:01,0.1,supervised learing model for time-series
b58267d1-e12c-45a6-9553-9b647bd3fde0,1607061091.8263958,TOTAL,[233305.57213637],2019-09-24,000:00:01,0.1,supervised learing model for time-series
e5003440-bbe6-4e69-b40a-8301a0a01dd9,1607061092.864043,TOTAL,[289149.24411761],2019-10-10,000:00:01,0.1,supervised learing model for time-series
0700c01a-dbb1-4416-85ea-6b6dd12ea13f,1607061093.833021,TOTAL,[190640.63947455],2019-08-24,000:00:00,0.1,supervised learing model for time-series
37b2b635-2a3a-410c-a8f2-158da519898d,1607061094.723247,TOTAL,[259331.89310717],2019-10-02,000:00:00,0.1,supervised learing model for time-series
b757a600-d94e-40e2-a857-7fb8e2e0618e,1607061095.599573,TOTAL,[259365.93997128],2019-10-01,000:00:00,0.1,supervised learing model for time-series
c84d2713-58d4-473c-b872-70d405ebdc26,1607061096.5329838,TOTAL,[329002.11820916],2019-10-29,000:00:00,0.1,supervised learing model for time-series
ae5b1051-0236-4136-b961-a11d225532e5,1607061097.4034526,TOTAL,[370969.72987817],2019-11-03,000:00:00,0.1,supervised learing model for time-series
538ed017-772c-465b-add8-8f3f188ef852,1607061098.4766638,TOTAL,[326216.61384253],2019-11-01,000:00:01,0.1,supervised learing model for time-series
1740ad14-7ca5-4264-a6be-54689ba2b243,1607061099.4609106,TOTAL,[307178.89409678],2019-10-16,000:00:00,0.1,supervised learing model for time-series
77312d6b-2b6c-41a0-9a3c-8303e3c0c09a,1607061100.3897521,TOTAL,[141713.86228034],2019-08-06,000:00:00,0.1,supervised learing model for time-series
0f939697-d1b0-4e0c-9d2c-1e7455131049,1607061101.2283576,TOTAL,[140343.09808852],2019-08-10,000:00:00,0.1,supervised learing model for time-series
1483e978-ffff-4d44-a0e2-a0609cae2935,1607061102.0759423,TOTAL,[199295.53680191],2019-08-29,000:00:00,0.1,supervised learing model for time-series
00d56229-075f-4311-b97f-d82a5834f181,1607061102.960827,TOTAL,[245701.43906586],2019-09-28,000:00:00,0.1,supervised learing model for time-series
1199c65a-3216-4b7b-bb2a-e2d4ca14c95c,1607061103.7805133,TOTAL,[226299.4926824],2019-09-10,000:00:00,0.1,supervised learing model for time-series
87c7f665-b3a7-42a1-9282-e788868f2cdf,1607061104.56702,TOTAL,[218775.51471478],2019-09-15,000:00:00,0.1,supervised learing model for time-series
13a861c7-8955-4ad6-89d5-35acd0a662dd,1607061105.3658814,TOTAL,[198946.72901895],2019-08-28,000:00:00,0.1,supervised learing model for time-series
9f6cf913-affe-4fbd-bffc-1364532ff931,1607061106.1484768,TOTAL,[329901.15903176],2019-10-30,000:00:00,0.1,supervised learing model for time-series
6dbb4322-aa4d-4d22-bd57-3fb12b888411,1607061106.916237,TOTAL,[317332.82260608],2019-10-26,000:00:00,0.1,supervised learing model for time-series
5cec49c6-0cbb-400e-9787-fc44dec1c451,1607061107.6967752,TOTAL,[208014.2604061],2019-09-02,000:00:00,0.1,supervised learing model for time-series
fec9d19a-25a7-4426-898e-f441202ab479,1607061108.477835,TOTAL,[133582.85371717],2019-08-09,000:00:00,0.1,supervised learing model for time-series
c9a5b2e6-d9df-40ce-8969-213996d025b6,1607061109.2744806,TOTAL,[223464.20354089],2019-09-21,000:00:00,0.1,supervised learing model for time-series
190d3f76-49ec-4c4f-ad44-c1e9cb2c8d16,1607061110.12559,TOTAL,[174746.30278722],2019-08-15,000:00:00,0.1,supervised learing model for time-series
34ef1ba2-7ae5-477a-bdc8-5c9830b80f56,1607061110.947829,TOTAL,[303304.27970453],2019-10-18,000:00:00,0.1,supervised learing model for time-series
c07b7d7e-ce5f-4ac4-81c8-5f0fad31a3ba,1607061111.7345448,TOTAL,[230191.55572148],2019-09-17,000:00:00,0.1,supervised learing model for time-series
456793c2-f056-4de3-9ac0-d17dfd57ca62,1607061112.5296204,TOTAL,[292163.62629879],2019-10-13,000:00:00,0.1,supervised learing model for time-series
0346046f-3362-45fe-a7ad-bf555b7f41d2,1607061113.335577,TOTAL,[219851.34847332],2019-09-07,000:00:00,0.1,supervised learing model for time-series
b57864e4-10af-4278-80c0-868da1ae4fbb,1607061114.1257002,TOTAL,[191224.28829437],2019-08-22,000:00:00,0.1,supervised learing model for time-series
4a1c584d-bb8c-42c6-aaa1-769e7ce2f3d0,1607061114.917403,TOTAL,[141713.86228034],2019-08-06,000:00:00,0.1,supervised learing model for time-series
5052771b-2586-4181-8f57-4495bc1508ee,1607061115.719257,TOTAL,[226975.24518414],2019-09-12,000:00:00,0.1,supervised learing model for time-series
defac847-e315-4c7d-bd34-83999aea32b7,1607061116.5054295,TOTAL,[226299.4926824],2019-09-09,000:00:00,0.1,supervised learing model for time-series
af3794b2-c2ea-4cc4-8d7e-8c01feee9dd8,1607061117.2786114,TOTAL,[259365.93997128],2019-10-01,000:00:00,0.1,supervised learing model for time-series
c3fe9ee3-dd8b-40a2-9218-61aa69ed4c33,1607061118.0786602,TOTAL,[142011.9526001],2019-08-05,000:00:00,0.1,supervised learing model for time-series
56be5df7-c594-43c8-9978-a3fcf8e00219,1607061118.8952668,TOTAL,[254943.73144231],2019-10-05,000:00:00,0.1,supervised learing model for time-series
7b066751-1281-4524-aeaf-c8e4256f68e1,1607061119.7403598,TOTAL,[215053.77603168],2019-09-13,000:00:00,0.1,supervised learing model for time-series
bd7a27dd-19dc-4816-ba96-d8549f216616,1607061120.6142788,TOTAL,[145175.55489665],2019-08-11,000:00:00,0.1,supervised learing model for time-series
f18d786b-6350-40b7-8f8c-12157566dac8,1607061121.4246528,TOTAL,[226975.24518414],2019-09-12,000:00:00,0.1,supervised learing model for time-series
8b4527f0-13b9-402d-b08b-eab7c79aca6c,1607061122.2212055,TOTAL,[276475.28375852],2019-10-08,000:00:00,0.1,supervised learing model for time-series
7d29e889-9998-4fd1-b168-6033fc77099e,1607061123.0083516,TOTAL,[174746.30278722],2019-08-15,000:00:00,0.1,supervised learing model for time-series
284a93fe-3d76-422e-ac28-cc79e4c07257,1607061123.8453138,TOTAL,[259365.93997128],2019-10-01,000:00:00,0.1,supervised learing model for time-series
316d7420-be4d-49f5-b494-5ca56d7386ed,1607061124.6324885,TOTAL,[329242.93869833],2019-10-27,000:00:00,0.1,supervised learing model for time-series
50a6c619-b82f-42a5-ac54-28585094a5eb,1607061125.6822445,TOTAL,[141713.86228034],2019-08-06,000:00:01,0.1,supervised learing model for time-series
d684a795-0986-4803-b8db-8f50a4db7dd3,1607061126.681275,TOTAL,[216214.8779828],2019-09-06,000:00:00,0.1,supervised learing model for time-series
028b2816-7352-44a0-b9d0-77cdbb9af706,1607061127.9437952,TOTAL,[226299.4926824],2019-09-10,000:00:01,0.1,supervised learing model for time-series
f6a3cea8-b7d0-4582-8059-3f584482dfeb,1607061129.0034,TOTAL,[327077.51188964],2019-10-24,000:00:01,0.1,supervised learing model for time-series
52daa49d-d124-45dc-9aec-322149de0fc8,1607061129.9788215,TOTAL,[328846.62234598],2019-10-31,000:00:00,0.1,supervised learing model for time-series
c715bc89-c1b7-4971-9873-e984ce775499,1607061130.9795835,TOTAL,[316644.10040423],2019-10-22,000:00:00,0.1,supervised learing model for time-series
9022189a-4a63-4cfa-90e0-0cbb51e11565,1607061131.8337545,TOTAL,[216214.8779828],2019-09-06,000:00:00,0.1,supervised learing model for time-series
6ad41e81-6ba0-40e2-be5d-00902a108ffe,1607061132.6417277,TOTAL,[226299.4926824],2019-09-10,000:00:00,0.1,supervised learing model for time-series
0ecf4598-d4a9-46ab-93f6-505e6fbc590b,1607061133.5466976,TOTAL,[198946.72901895],2019-09-01,000:00:00,0.1,supervised learing model for time-series
8b989449-e57a-4508-b267-1d8cb5267be9,1607061134.7486103,TOTAL,[329002.11820916],2019-10-29,000:00:01,0.1,supervised learing model for time-series
c513ffdf-630a-4191-85c9-ef1af4b8c9c5,1607061135.9195764,TOTAL,[303304.27970453],2019-10-18,000:00:01,0.1,supervised learing model for time-series
f7e755d5-8af5-4d82-847c-6c1b7883de7c,1607061137.020393,TOTAL,[254943.73144231],2019-10-05,000:00:01,0.1,supervised learing model for time-series
55593205-0a57-4485-80c0-030664a2b6a4,1607061137.9736414,TOTAL,[225950.68489945],2019-09-11,000:00:00,0.1,supervised learing model for time-series
4a80959b-33cf-4115-b0e8-86dda2f429a9,1607061138.8216958,TOTAL,[191224.28829437],2019-08-22,000:00:00,0.1,supervised learing model for time-series
54d6a090-ac74-4723-949b-c44b70f842e8,1607061139.6713102,TOTAL,[233305.57213637],2019-09-24,000:00:00,0.1,supervised learing model for time-series
17e7b3b6-856d-46df-bed4-4555e50969f1,1607061140.646932,TOTAL,[178694.89046917],2019-08-18,000:00:00,0.1,supervised learing model for time-series
83268690-3e7b-4c8f-b7c2-2b2099cfa8a1,1607061141.4348886,TOTAL,[194242.55342393],2019-08-25,000:00:00,0.1,supervised learing model for time-series
9f8bc082-76a7-4649-82f4-9a8b31bfc462,1607061142.2202392,TOTAL,[221069.27076627],2019-09-08,000:00:00,0.1,supervised learing model for time-series
111f6700-8ab0-4bae-8430-180917e2cf08,1607061143.090896,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
3e5f48bb-88ec-4770-90fc-a1a382dfa98b,1607061143.99838,TOTAL,[174746.30278722],2019-08-15,000:00:00,0.1,supervised learing model for time-series
2415194b-21d6-4872-b9ca-ab65a82f9730,1607061144.8507953,TOTAL,[327244.81069729],2019-11-02,000:00:00,0.1,supervised learing model for time-series
d508fe2a-ceaf-4549-9772-eeef1d428a33,1607061145.628127,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
0d1c1e7d-7486-4223-8f15-590e2268fb90,1607061146.4027297,TOTAL,[317020.09025982],2019-10-25,000:00:00,0.1,supervised learing model for time-series
